timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1612087076274,369,GetEmployeeData,200,OK,Data Boss Thread Group 1-2,text,true,,3327,145,3,3,http://dummy.restapiexample.com/api/v1/employees,369,0,116
1612087076163,479,GetEmployeeData,200,OK,Data Boss Thread Group 1-1,text,true,,3327,145,3,3,http://dummy.restapiexample.com/api/v1/employees,476,0,221
1612087076472,301,GetEmployeeData,200,OK,Data Boss Thread Group 1-3,text,true,,3327,145,4,4,http://dummy.restapiexample.com/api/v1/employees,301,0,55
1612087076671,109,GetEmployeeData,200,OK,Data Boss Thread Group 1-4,text,true,,3327,145,4,4,http://dummy.restapiexample.com/api/v1/employees,109,0,50
1612087076872,107,GetEmployeeData,200,OK,Data Boss Thread Group 1-5,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,106,0,51
1612087076645,801,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-2,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,801,0,0
1612087076645,801,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-1,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,801,0,0
1612087076773,911,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-3,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,911,0,0
1612087076781,903,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-4,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,903,0,0
1612087076979,806,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-5,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,806,0,0
1612087077446,716,CreateUser,200,OK,Data Boss Thread Group 1-1,text,true,,621,423,5,5,http://dummy.restapiexample.com/api/v1/create,716,0,0
1612087077446,757,CreateUser,200,OK,Data Boss Thread Group 1-2,text,true,,621,423,5,5,http://dummy.restapiexample.com/api/v1/create,757,0,0
1612087077685,722,CreateUser,200,OK,Data Boss Thread Group 1-3,text,true,,621,423,5,5,http://dummy.restapiexample.com/api/v1/create,722,0,0
1612087077685,764,CreateUser,200,OK,Data Boss Thread Group 1-4,text,true,,621,423,5,5,http://dummy.restapiexample.com/api/v1/create,764,0,0
1612087077785,708,CreateUser,200,OK,Data Boss Thread Group 1-5,text,true,,621,423,5,5,http://dummy.restapiexample.com/api/v1/create,707,0,0
1612087078162,733,UpdateUser,200,OK,Data Boss Thread Group 1-1,text,true,,614,357,5,5,http://dummy.restapiexample.com/public/api/v1/update/21,733,0,0
1612087078204,772,UpdateUser,429,Too Many Requests,Data Boss Thread Group 1-2,text,false,,19697,357,5,5,http://dummy.restapiexample.com/public/api/v1/update/21,717,0,0
1612087078978,84,GetEmployeeData,200,OK,Data Boss Thread Group 1-2,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,84,0,0
1612087078408,791,UpdateUser,200,OK,Data Boss Thread Group 1-3,text,true,,614,357,5,5,http://dummy.restapiexample.com/public/api/v1/update/21,791,0,0
1612087078450,757,UpdateUser,200,OK,Data Boss Thread Group 1-4,text,true,,614,357,5,5,http://dummy.restapiexample.com/public/api/v1/update/21,757,0,0
1612087078493,735,UpdateUser,200,OK,Data Boss Thread Group 1-5,text,true,,614,357,5,5,http://dummy.restapiexample.com/public/api/v1/update/21,735,0,0
1612087078896,731,DeleteUser,200,OK,Data Boss Thread Group 1-1,text,true,,614,237,5,5,http://dummy.restapiexample.com/public/api/v1/delete/2,731,0,0
1612087079628,70,GetEmployeeData,200,OK,Data Boss Thread Group 1-1,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,70,0,0
1612087079063,750,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-2,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,750,0,0
1612087079200,741,DeleteUser,200,OK,Data Boss Thread Group 1-3,text,true,,614,237,5,5,http://dummy.restapiexample.com/public/api/v1/delete/2,741,0,0
1612087079207,748,DeleteUser,200,OK,Data Boss Thread Group 1-4,text,true,,614,237,5,5,http://dummy.restapiexample.com/public/api/v1/delete/2,748,0,0
1612087079228,727,DeleteUser,200,OK,Data Boss Thread Group 1-5,text,true,,614,237,5,5,http://dummy.restapiexample.com/public/api/v1/delete/2,727,0,0
1612087079941,58,GetEmployeeData,200,OK,Data Boss Thread Group 1-3,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,58,0,0
1612087079956,57,GetEmployeeData,200,OK,Data Boss Thread Group 1-5,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,57,0,0
1612087079955,69,GetEmployeeData,200,OK,Data Boss Thread Group 1-4,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,69,0,0
1612087079698,864,GetEmployeeIdData,429,Too Many Requests,Data Boss Thread Group 1-1,text,false,,19690,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,816,0,0
1612087079814,755,CreateUser,200,OK,Data Boss Thread Group 1-2,text,true,,620,423,5,5,http://dummy.restapiexample.com/api/v1/create,755,0,0
1612087080563,69,GetEmployeeData,200,OK,Data Boss Thread Group 1-1,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,69,0,0
1612087080000,784,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-3,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,784,0,0
1612087080015,785,GetEmployeeIdData,429,Too Many Requests,Data Boss Thread Group 1-5,text,false,,19693,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,734,0,0
1612087080800,79,GetEmployeeData,200,OK,Data Boss Thread Group 1-5,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,79,0,0
1612087080025,894,GetEmployeeIdData,429,Too Many Requests,Data Boss Thread Group 1-4,text,false,,19691,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,843,0,0
1612087080919,65,GetEmployeeData,200,OK,Data Boss Thread Group 1-4,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,64,0,0
1612087080569,838,UpdateUser,429,Too Many Requests,Data Boss Thread Group 1-2,text,false,,19698,357,5,5,http://dummy.restapiexample.com/public/api/v1/update/21,785,0,0
1612087080633,782,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-1,text,true,,724,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,782,0,0
1612087081408,68,GetEmployeeData,200,OK,Data Boss Thread Group 1-2,text,true,,3327,145,5,5,http://dummy.restapiexample.com/api/v1/employees,68,0,0
1612087080784,780,CreateUser,200,OK,Data Boss Thread Group 1-3,text,true,,621,423,5,5,http://dummy.restapiexample.com/api/v1/create,780,0,0
1612087080879,904,GetEmployeeIdData,429,Too Many Requests,Data Boss Thread Group 1-5,text,false,,19691,146,5,5,http://dummy.restapiexample.com/api/v1/employee/1,858,0,0
1612087080984,821,GetEmployeeIdData,429,Too Many Requests,Data Boss Thread Group 1-4,text,false,,19693,146,4,4,http://dummy.restapiexample.com/api/v1/employee/1,771,0,0
1612087081415,915,CreateUser,200,OK,Data Boss Thread Group 1-1,text,true,,621,423,3,3,http://dummy.restapiexample.com/api/v1/create,915,0,0
1612087081477,855,GetEmployeeIdData,200,OK,Data Boss Thread Group 1-2,text,true,,724,146,3,3,http://dummy.restapiexample.com/api/v1/employee/1,855,0,0
1612087081564,789,UpdateUser,200,OK,Data Boss Thread Group 1-3,text,true,,614,357,3,3,http://dummy.restapiexample.com/public/api/v1/update/21,789,0,0
1612087082332,748,CreateUser,200,OK,Data Boss Thread Group 1-2,text,true,,621,423,3,3,http://dummy.restapiexample.com/api/v1/create,748,0,0
1612087082353,772,DeleteUser,200,OK,Data Boss Thread Group 1-3,text,true,,614,237,3,3,http://dummy.restapiexample.com/public/api/v1/delete/2,772,0,0
1612087083126,60,GetEmployeeData,200,OK,Data Boss Thread Group 1-3,text,true,,3327,145,3,3,http://dummy.restapiexample.com/api/v1/employees,60,0,0
